Violation Id,Primary,Violation Number,Violation Date,Violation Item,Violation Item Description,Citation Number,Corrective Action,Inspection Number,Address,Zipcode,Battalion,Station Area,Fire Prevention District,Status,Close Date,Supervisor District,Neighborhood  District,X,Y
1704-0073SFC16A,,1704-0073,4/5/17,SFC16A,2016 san francisco fire code,,,307782,327  - 333 Grant Ave,94108,1,1,01W,referred to hearing,6/27/18,3,Financial District/South Beach,37.79015996,-122.4057262
1704-0073SFC16B,,1704-0073,4/5/17,SFC16B,2016 san francisco fire code,,,307782,327  - 333 Grant Ave,94108,1,1,01W,referred to hearing,6/27/18,3,Financial District/South Beach,37.79015996,-122.4057262
0911-0036OTH,,0911-0036,11/5/09,OTH,oth,,obtain permit,75172,1730  Vallejo St,94123,4,16,4,closed,3/4/15,2,Marina,37.79668254,-122.4258818
1803-000916SPR11Y,Y,1803-0009,3/1/18,16SPR11,sprinkler testing and maintenance,,correct - no permit,348578,555  Pine St,94108,1,13,01W,open,,3,Financial District/South Beach,37.79133911,-122.4050266
1803-001216STO16Y,Y,1803-0012,3/1/18,16STO16,storage / ceiling clearance,,correct - no permit,348582,430  Bush St,94108,1,13,01W,open,,3,Financial District/South Beach,37.7910018,-122.4048492
1712-055216REC20,,1712-0552,12/27/17,16REC20,records / ul certificate,,,340364,900  Van Ness Ave,94109,2,3,02N,abated,3/1/18,6,Tenderloin,37.78405247,-122.4206422
1712-055216SPR08,,1712-0552,12/27/17,16SPR08,sprinkler / 5-year service,,,340364,900  Van Ness Ave,94109,2,3,02N,abated,3/1/18,6,Tenderloin,37.78405247,-122.4206422
1712-057316SIG40,,1712-0573,12/29/17,16SIG40,signs / fire protection and equipment identificati,,,340494,650  02nd St,94107,3,8,03S,abated,3/1/18,6,Financial District/South Beach,37.78095996,-122.3915584
1712-057316SPR08,,1712-0573,12/29/17,16SPR08,sprinkler / 5-year service,,,340494,650  02nd St,94107,3,8,03S,abated,3/1/18,6,Financial District/South Beach,37.78095996,-122.3915584
1803-001716COM01Y,Y,1803-0017,3/1/18,16COM01,fire command center features,,correct - no permit,348586,620  Jones St,94102,1,3,01W,abated,5/14/18,3,Tenderloin,37.78716029,-122.4128896
1803-001716REC29,,1803-0017,3/1/18,16REC29,test and maintenance documentation,,correct - no permit,348586,620  Jones St,94102,1,3,01W,abated,5/14/18,3,Tenderloin,37.78716029,-122.4128896
1803-0017NOTES,,1803-0017,3/1/18,NOTES,notes,,correct - no permit,348586,620  Jones St,94102,1,3,01W,abated,5/14/18,3,Tenderloin,37.78716029,-122.4128896
0911-011807EXI02,,0911-0118,11/19/09,07EXI02,exits / storage in pathway,,correct - no permit,75624,1055  Mason St,94108,1,41,01N,closed,2/9/10,3,Nob Hill,37.79346697,-122.4113584
0911-011807EXT04,,0911-0118,11/19/09,07EXT04,extinguisher / service required,,correct - no permit,75624,1055  Mason St,94108,1,41,01N,closed,2/9/10,3,Nob Hill,37.79346697,-122.4113584
1803-001316GAS02,,1803-0013,3/1/18,16GAS02,hazard / secure/protect gas cylinders,,,348583,22  04th St,94103,3,1,03N,abated,5/17/18,6,South of Market,37.78499029,-122.4056766
1803-001316STD05,,1803-0013,3/1/18,16STD05,standpipes / missing caps,,,348583,22  04th St,94103,3,1,03N,abated,5/17/18,6,South of Market,37.78499029,-122.4056766
1803-001316STO10,,1803-0013,3/1/18,16STO10,"storage / boiler, mechanical & electric rooms",,,348583,22  04th St,94103,3,1,03N,abated,5/17/18,6,South of Market,37.78499029,-122.4056766
1803-0013SFC16A,,1803-0013,3/1/18,SFC16A,2016 san francisco fire code,,,348583,22  04th St,94103,3,1,03N,abated,5/17/18,6,South of Market,37.78499029,-122.4056766
1802-023216ALR12Y,Y,1802-0232,2/27/18,16ALR12,alarm system maintained,,,348411,169  - 183 06th St,94103,3,1,03W,abated,3/1/18,6,South of Market,37.78020839,-122.4073636
0911-018607EXT04,,0911-0186,11/30/09,07EXT04,extinguisher / service required,,,81262,85  - 99 05th St,94103,3,1,03N,closed,1/27/10,6,South of Market,37.78301953,-122.4065188
0912-001107PER01,,0912-0011,12/2/09,07PER01,permit / general,,correct - no permit,76042,1100  Sacramento St,94108,1,41,01N,closed,12/16/09,3,Nob Hill,37.79295425,-122.4113839
0912-001107SPR08,,0912-0011,12/2/09,07SPR08,sprinkler / 5-year service,,correct - no permit,76042,1100  Sacramento St,94108,1,41,01N,closed,12/16/09,3,Nob Hill,37.79295425,-122.4113839
1803-003316ALR12,,1803-0033,3/2/18,16ALR12,alarm system maintained,,correct - no permit,348668,350  Turk St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003316ALR13,,1803-0033,3/2/18,16ALR13,appearance of life safety equipment,,correct - no permit,348668,350  Turk St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003316DOR08,,1803-0033,3/2/18,16DOR08,doors / latches,,correct - no permit,348668,350  Turk St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003316DOR23,,1803-0033,3/2/18,16DOR23,doors / trash and linen chutes,,correct - no permit,348668,350  Turk St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003316DOR25,,1803-0033,3/2/18,16DOR25,doors / non-conforming hardware,,correct - no permit,348668,350  Turk St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003316EXI02,,1803-0033,3/2/18,16EXI02,exits / storage in pathway,,correct - no permit,348668,350  Turk St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003316EXT08,,1803-0033,3/2/18,16EXT08,extinguisher / obstructed,,correct - no permit,348668,350  Turk St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003316REC16Y,Y,1803-0033,3/2/18,16REC16,records / sffd binder for review for 5 years,,correct - no permit,348668,350  Turk St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003316SPR11,,1803-0033,3/2/18,16SPR11,sprinkler testing and maintenance,,correct - no permit,348668,350  Turk St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003316STO08,,1803-0033,3/2/18,16STO08,storage / no combustibles allowed,,correct - no permit,348668,350  Turk St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003416ALR12,,1803-0034,3/2/18,16ALR12,alarm system maintained,,correct - no permit,348669,455  Eddy St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003416DOR08,,1803-0034,3/2/18,16DOR08,doors / latches,,correct - no permit,348669,455  Eddy St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003416DOR23,,1803-0034,3/2/18,16DOR23,doors / trash and linen chutes,,correct - no permit,348669,455  Eddy St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003416DOR25,,1803-0034,3/2/18,16DOR25,doors / non-conforming hardware,,correct - no permit,348669,455  Eddy St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003416EXI02,,1803-0034,3/2/18,16EXI02,exits / storage in pathway,,correct - no permit,348669,455  Eddy St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003416EXT04,,1803-0034,3/2/18,16EXT04,extinguisher / service required,,correct - no permit,348669,455  Eddy St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003416EXT08,,1803-0034,3/2/18,16EXT08,extinguisher / obstructed,,correct - no permit,348669,455  Eddy St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003416PER01,,1803-0034,3/2/18,16PER01,permit / general,,correct - no permit,348669,455  Eddy St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003416REC16Y,Y,1803-0034,3/2/18,16REC16,records / sffd binder for review for 5 years,,correct - no permit,348669,455  Eddy St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003416SPR10,,1803-0034,3/2/18,16SPR10,sprinkler / install additional heads,,correct - no permit,348669,455  Eddy St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-003416SPR11,,1803-0034,3/2/18,16SPR11,sprinkler testing and maintenance,,correct - no permit,348669,455  Eddy St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
0912-004307EXT22,,0912-0043,12/7/09,07EXT22,extinguishers / upgrade to ul 300,,,76307,67  - 71 05th St,94103,3,1,03N,closed,11/9/10,6,South of Market,37.7831957,-122.4065305
0912-004807HAZ05,,0912-0048,12/8/09,07HAZ05,hazard materials/store in approved manner,,correct - no permit,76272,477  Ofarrell St,94102,3,1,03W,closed,1/6/12,6,Tenderloin,37.78559864,-122.4124232
1803-0034SFC16A,,1803-0034,3/2/18,SFC16A,2016 san francisco fire code,,correct - no permit,348669,455  Eddy St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1803-0034SFC16B,,1803-0034,3/2/18,SFC16B,2016 san francisco fire code,,correct - no permit,348669,455  Eddy St,94102,2,3,02N,open,,6,Tenderloin,37.78315841,-122.4149589
1606-003613ALR12Y,Y,1606-0036,6/6/16,13ALR12,alarm system maintained,,correct - no permit,280224,222  - 228 Hyde St,94102,2,3,02N,rescinded,3/4/18,6,Tenderloin,37.78298928,-122.4154933
1610-006713ALR12Y,Y,1610-0067,10/6/16,13ALR12,alarm system maintained,,correct - no permit,294675,381  - 391 Broadway,94133,1,13,01N,abated,3/4/18,3,North Beach,37.79803511,-122.4036115
1610-006713ILL08,,1610-0067,10/6/16,13ILL08,illumination / minimum egress light,,correct - no permit,294675,381  - 391 Broadway,94133,1,13,01N,abated,3/4/18,3,North Beach,37.79803511,-122.4036115
1704-023216ALR12,,1704-0232,4/19/17,16ALR12,alarm system maintained,,correct - no permit,308393,1333  Jones St,94109,1,41,01W,abated,3/5/18,3,Nob Hill,37.79362108,-122.4148824
1704-023216DOR08,,1704-0232,4/19/17,16DOR08,doors / latches,,correct - no permit,308393,1333  Jones St,94109,1,41,01W,abated,3/5/18,3,Nob Hill,37.79362108,-122.4148824
1704-023216REC20Y,Y,1704-0232,4/19/17,16REC20,records / ul certificate,,correct - no permit,308393,1333  Jones St,94109,1,41,01W,abated,3/5/18,3,Nob Hill,37.79362108,-122.4148824
1704-023216REC22,,1704-0232,4/19/17,16REC22,records / facility emergency plan,,correct - no permit,308393,1333  Jones St,94109,1,41,01W,abated,3/5/18,3,Nob Hill,37.79362108,-122.4148824
1704-023216REC27,,1704-0232,4/19/17,16REC27,records / fire drills,,correct - no permit,308393,1333  Jones St,94109,1,41,01W,abated,3/5/18,3,Nob Hill,37.79362108,-122.4148824
1704-023216SPR08,,1704-0232,4/19/17,16SPR08,sprinkler / 5-year service,,correct - no permit,308393,1333  Jones St,94109,1,41,01W,abated,3/5/18,3,Nob Hill,37.79362108,-122.4148824
1801-0218SFC16B,,1801-0218,1/15/18,SFC16B,2016 san francisco fire code,,,346454,2525  Phelps St,94124,10,42,10,open,3/5/18,10,Bayview Hunters Point,37.7295263,-122.4002781
1801-0218SFC16C,,1801-0218,1/15/18,SFC16C,2016 san francisco fire code,,,346454,2525  Phelps St,94124,10,42,10,open,3/5/18,10,Bayview Hunters Point,37.7295263,-122.4002781
0912-010607REC20,,0912-0106,12/16/09,07REC20,records / ul certificate,,obtain permit,76541,201  California St,94111,1,13,01S,closed,12/2/11,3,Financial District/South Beach,37.79299739,-122.3990435
1803-004116EXT04,,1803-0041,3/5/18,16EXT04,extinguisher / service required,,,348704,35  - 37 06th St,94103,3,1,03W,referred to hearing,3/26/18,6,South of Market,37.78185163,-122.4094223
1803-004116SPR11Y,Y,1803-0041,3/5/18,16SPR11,sprinkler testing and maintenance,,,348704,35  - 37 06th St,94103,3,1,03W,referred to hearing,3/26/18,6,South of Market,37.78185163,-122.4094223
1803-004216ELE06,,1803-0042,3/2/18,16ELE06,electrical / work space/clearance,,,348692,24  Willie Mays Plz,94107,3,8,60,abated,4/5/18,6,Mission Bay,37.778399,-122.390709
1803-004216STO10Y,Y,1803-0042,3/2/18,16STO10,"storage / boiler, mechanical & electric rooms",,,348692,24  Willie Mays Plz,94107,3,8,60,abated,4/5/18,6,Mission Bay,37.778399,-122.390709
1803-002116ALR12Y,Y,1803-0021,3/5/18,16ALR12,alarm system maintained,,,348713,195  07th St,94103,3,1,03W,abated,5/2/18,6,South of Market,37.77827515,-122.409432
1803-002116SPR08,,1803-0021,3/5/18,16SPR08,sprinkler / 5-year service,,,348713,195  07th St,94103,3,1,03W,abated,5/2/18,6,South of Market,37.77827515,-122.409432
1802-033816SPR08Y,Y,1802-0338,3/5/18,16SPR08,sprinkler / 5-year service,,,348689,1581  Webster St,94115,4,38,4,abated,5/30/18,5,Japantown,37.7849719,-122.4318524
1801-0218SFC16D,,1801-0218,1/15/18,SFC16D,2016 san francisco fire code,,,346454,2525  Phelps St,94124,10,42,10,open,3/5/18,10,Bayview Hunters Point,37.7295263,-122.4002781
1607-019813REC20,,1607-0198,8/24/16,13REC20,records / ul certificate,,correct - no permit,292909,1444  07th Ave,94122,8,22,8,referred to hearing,3/7/18,5,Inner Sunset,37.76142058,-122.4636536
1607-019813SPR10,,1607-0198,8/24/16,13SPR10,sprinkler / install additional heads,,correct - no permit,292909,1444  07th Ave,94122,8,22,8,referred to hearing,3/7/18,5,Inner Sunset,37.76142058,-122.4636536
1607-019813STO08,,1607-0198,8/24/16,13STO08,storage / no combustibles allowed,,correct - no permit,292909,1444  07th Ave,94122,8,22,8,referred to hearing,3/7/18,5,Inner Sunset,37.76142058,-122.4636536
1803-003816ALR12Y,Y,1803-0038,3/7/18,16ALR12,alarm system maintained,,,348785,222  - 228 Hyde St,94102,2,3,02N,referred to hearing,4/10/18,6,Tenderloin,37.78298928,-122.4154933
1803-003816EXT04,,1803-0038,3/7/18,16EXT04,extinguisher / service required,,,348785,222  - 228 Hyde St,94102,2,3,02N,referred to hearing,4/10/18,6,Tenderloin,37.78298928,-122.4154933
1803-003816SPR08,,1803-0038,3/7/18,16SPR08,sprinkler / 5-year service,,,348785,222  - 228 Hyde St,94102,2,3,02N,referred to hearing,4/10/18,6,Tenderloin,37.78298928,-122.4154933
1802-010016EXI01,,1802-0100,2/6/18,16EXI01,exits/obstructions,,correct - no permit,347515,125  Mason St,94102,3,1,03W,referred to hearing,5/3/18,6,Tenderloin,37.78474841,-122.4097662
1002-007707STD09,,1002-0077,2/10/10,07STD09,standpipes / maintenance,,correct - no permit,81352,116  - 118 Turk St,94102,3,1,03W,closed,2/25/15,6,Tenderloin,37.78339917,-122.4112701
1002-008107REC16,,1002-0081,2/10/10,07REC16,records / sffd binder for review for 3 years,,,81339,130  Bush St,94104,1,13,01S,closed,2/10/10,3,Financial District/South Beach,37.79145549,-122.4001653
1002-0086SFC,,1002-0086,2/10/10,SFC,2007 san francisco fire code,,,81293,3099  Washington St,94115,4,10,4,closed,2/10/10,2,Pacific Heights,37.79020407,-122.4439677
1002-0087SFC,,1002-0087,2/10/10,SFC,2007 san francisco fire code,,,,1035  Sutter St,94109,4,3,4,closed,2/10/10,3,Nob Hill,37.78782224,-122.4173788
1002-0127SFC,,1002-0127,2/16/10,SFC,2007 san francisco fire code,,,81474,354  - 356 11th St,94103,2,36,02S,closed,2/16/10,6,Mission,37.7710186,-122.4133425
1002-0128SFC,,1002-0128,2/16/10,SFC,2007 san francisco fire code,,,81475,354  - 356 11th St,94103,2,36,02S,closed,2/16/10,6,Mission,37.7710186,-122.4133425
1802-010016EXT04,,1802-0100,2/6/18,16EXT04,extinguisher / service required,,correct - no permit,347515,125  Mason St,94102,3,1,03W,referred to hearing,5/3/18,6,Tenderloin,37.78474841,-122.4097662
1802-010016PER01,,1802-0100,2/6/18,16PER01,permit / general,,correct - no permit,347515,125  Mason St,94102,3,1,03W,referred to hearing,5/3/18,6,Tenderloin,37.78474841,-122.4097662
1803-005616DOR08,,1803-0056,3/6/18,16DOR08,doors / latches,,,348766,299  02nd St,94105,3,1,03S,abated,5/8/18,6,Financial District/South Beach,37.78596075,-122.3968173
1803-005616PEN22Y,Y,1803-0056,3/6/18,16PEN22,penetrations / fire rating maintained,,,348766,299  02nd St,94105,3,1,03S,abated,5/8/18,6,Financial District/South Beach,37.78596075,-122.3968173
1803-005616SIG47,,1803-0056,3/6/18,16SIG47,repair exit sign,,,348766,299  02nd St,94105,3,1,03S,abated,5/8/18,6,Financial District/South Beach,37.78596075,-122.3968173
1803-006216REC29Y,Y,1803-0062,3/7/18,16REC29,test and maintenance documentation,,correct - no permit,348809,114  Powell St,94102,3,1,03W,open,9/24/18,3,Financial District/South Beach,37.78576959,-122.4076773
1802-019816HAZ05,,1802-0198,2/14/18,16HAZ05,hazard materials/store in approved manner,,,347885,1234  Geneva Ave,94112,9,43,9,referred to hearing,3/6/18,11,Excelsior,37.71368318,-122.4357058
1802-019816STO08,,1802-0198,2/14/18,16STO08,storage / no combustibles allowed,,,347885,1234  Geneva Ave,94112,9,43,9,referred to hearing,3/6/18,11,Excelsior,37.71368318,-122.4357058
1802-019816STO16,,1802-0198,2/14/18,16STO16,storage / ceiling clearance,,,347885,1234  Geneva Ave,94112,9,43,9,referred to hearing,3/6/18,11,Excelsior,37.71368318,-122.4357058
1802-010016REC29,,1802-0100,2/6/18,16REC29,test and maintenance documentation,,correct - no permit,347515,125  Mason St,94102,3,1,03W,referred to hearing,5/3/18,6,Tenderloin,37.78474841,-122.4097662
1802-010016STD05,,1802-0100,2/6/18,16STD05,standpipes / missing caps,,correct - no permit,347515,125  Mason St,94102,3,1,03W,referred to hearing,5/3/18,6,Tenderloin,37.78474841,-122.4097662
1802-010016STO18,,1802-0100,2/6/18,16STO18,storage / combustibles in exit path,,correct - no permit,347515,125  Mason St,94102,3,1,03W,referred to hearing,5/3/18,6,Tenderloin,37.78474841,-122.4097662
1002-015107ELE07,,1002-0151,2/18/10,07ELE07,electrical / hazards,,correct - no permit,81582,234  - 240 Stockton St,94108,1,1,01W,closed,2/3/12,3,Financial District/South Beach,37.78819168,-122.4064754
1002-015107PEN22,,1002-0151,2/18/10,07PEN22,penetrations / fire rating maintained,,correct - no permit,81582,234  - 240 Stockton St,94108,1,1,01W,closed,2/3/12,3,Financial District/South Beach,37.78819168,-122.4064754
1002-015107REC16,,1002-0151,2/18/10,07REC16,records / sffd binder for review for 3 years,,correct - no permit,81582,234  - 240 Stockton St,94108,1,1,01W,closed,2/3/12,3,Financial District/South Beach,37.78819168,-122.4064754
1002-015107SPR08,,1002-0151,2/18/10,07SPR08,sprinkler / 5-year service,,correct - no permit,81582,234  - 240 Stockton St,94108,1,1,01W,closed,2/3/12,3,Financial District/South Beach,37.78819168,-122.4064754
1002-015110EXI16,,1002-0151,2/18/10,10EXI16,exits / doors unlock on alarm,,correct - no permit,81582,234  - 240 Stockton St,94108,1,1,01W,closed,2/3/12,3,Financial District/South Beach,37.78819168,-122.4064754
1002-015110SIG10,,1002-0151,2/18/10,10SIG10,signs / provide exit sign,,correct - no permit,81582,234  - 240 Stockton St,94108,1,1,01W,closed,2/3/12,3,Financial District/South Beach,37.78819168,-122.4064754
1002-0151SFC10,,1002-0151,2/18/10,SFC10,2010 san francisco fire code,,correct - no permit,81582,234  - 240 Stockton St,94108,1,1,01W,closed,2/3/12,3,Financial District/South Beach,37.78819168,-122.4064754
1002-0156SFC,,1002-0156,2/19/10,SFC,2007 san francisco fire code,,correct - no permit,81597,300  Hyde St,94109,2,3,02N,closed,2/19/10,6,Tenderloin,37.78375155,-122.4157401
1803-006016ALR14,,1803-0060,3/8/18,16ALR14,smoke alarm,,,348845,765  Ellis St,94109,2,3,02N,abated,4/18/18,6,Tenderloin,37.78384911,-122.4187717
1803-006016EXI13,,1803-0060,3/8/18,16EXI13,exits/fire escapes,,,348845,765  Ellis St,94109,2,3,02N,abated,4/18/18,6,Tenderloin,37.78384911,-122.4187717
1803-005916ALR13Y,Y,1803-0059,3/8/18,16ALR13,appearance of life safety equipment,,,348850,790  Ellis St,94109,2,3,02N,referred to hearing,4/30/18,6,Tenderloin,37.78435114,-122.418952
1803-005916DOR25,,1803-0059,3/8/18,16DOR25,doors / non-conforming hardware,,,348850,790  Ellis St,94109,2,3,02N,referred to hearing,4/30/18,6,Tenderloin,37.78435114,-122.418952
1803-005916EXT04,,1803-0059,3/8/18,16EXT04,extinguisher / service required,,,348850,790  Ellis St,94109,2,3,02N,referred to hearing,4/30/18,6,Tenderloin,37.78435114,-122.418952
1803-005916EXT15,,1803-0059,3/8/18,16EXT15,extinguisher / required,,,348850,790  Ellis St,94109,2,3,02N,referred to hearing,4/30/18,6,Tenderloin,37.78435114,-122.418952
1803-005916SIG39,,1803-0059,3/8/18,16SIG39,signs / fire equipment inside,,,348850,790  Ellis St,94109,2,3,02N,referred to hearing,4/30/18,6,Tenderloin,37.78435114,-122.418952
1002-016007REC22,,1002-0160,2/20/10,07REC22,records / facility emergency plan,,correct - no permit,76886,832  Folsom St,94103,3,1,03S,referred to hearing,10/19/17,6,South of Market,37.78158077,-122.4023181
1002-0164SFC,,1002-0164,2/22/10,SFC,2007 san francisco fire code,,,,2789  Harrison St,94110,6,7,6,closed,4/30/10,9,Mission,37.7527473,-122.4118841
1002-018307DOR25,,1002-0183,2/24/10,07DOR25,doors / non-conforming hardware,,obtain permit,81726,2190  Broadway,94123,4,16,4,closed,3/22/16,2,Pacific Heights,37.79477954,-122.4330563
1002-018307REC23,,1002-0183,2/24/10,07REC23,records / fire safety director,,obtain permit,81726,2190  Broadway,94123,4,16,4,closed,3/22/16,2,Pacific Heights,37.79477954,-122.4330563
1703-018316SPR08Y,Y,1703-0183,3/17/17,16SPR08,sprinkler / 5-year service,,,306749,1501  - 1515 Sutter St,94109,4,38,4,abated,8/24/17,5,Japantown,37.7867918,-122.4254493
1703-018816ALR12Y,Y,1703-0188,3/16/17,16ALR12,alarm system maintained,,correct - no permit,306706,728  - 730 Washington St,94108,1,2,01N,,,3,Chinatown,37.79551729,-122.4055667
1703-019016AIR01Y,Y,1703-0190,3/16/17,16AIR01,firefighter air system records and testing,,obtain permit,292446,1080  Sutter St,94109,4,3,4,open,,3,Nob Hill,37.78814989,-122.4180418
1703-019016ALR12,,1703-0190,3/16/17,16ALR12,alarm system maintained,,obtain permit,292446,1080  Sutter St,94109,4,3,4,open,,3,Nob Hill,37.78814989,-122.4180418
1703-019016PER01,,1703-0190,3/16/17,16PER01,permit / general,,obtain permit,292446,1080  Sutter St,94109,4,3,4,open,,3,Nob Hill,37.78814989,-122.4180418
1703-019016REC16,,1703-0190,3/16/17,16REC16,records / sffd binder for review for 5 years,,obtain permit,292446,1080  Sutter St,94109,4,3,4,open,,3,Nob Hill,37.78814989,-122.4180418
1803-006916REC16Y,Y,1803-0069,3/7/18,16REC16,records / sffd binder for review for 5 years,,obtain permit,348839,2190  Broadway,94123,4,16,4,open,,2,Pacific Heights,37.79477954,-122.4330563
1803-006916SIG34,,1803-0069,3/7/18,16SIG34,signs / evacuation plans,,obtain permit,348839,2190  Broadway,94123,4,16,4,open,,2,Pacific Heights,37.79477954,-122.4330563
1803-006916STO08,,1803-0069,3/7/18,16STO08,storage / no combustibles allowed,,obtain permit,348839,2190  Broadway,94123,4,16,4,open,,2,Pacific Heights,37.79477954,-122.4330563
1803-0069SFC16A,,1803-0069,3/7/18,SFC16A,2016 san francisco fire code,,obtain permit,348839,2190  Broadway,94123,4,16,4,open,,2,Pacific Heights,37.79477954,-122.4330563
1803-0069SFC16B,,1803-0069,3/7/18,SFC16B,2016 san francisco fire code,,obtain permit,348839,2190  Broadway,94123,4,16,4,open,,2,Pacific Heights,37.79477954,-122.4330563
1803-007016EXT15,,1803-0070,3/7/18,16EXT15,extinguisher / required,,correct - no permit,348837,1215  - 1231 Market St,94103,2,36,02S,abated,3/8/18,6,South of Market,37.77794682,-122.4147912
1803-006516DOR25Y,Y,1803-0065,3/7/18,16DOR25,doors / non-conforming hardware,,,348826,1155  Battery St,94111,1,13,01N,abated,3/21/18,3,Financial District/South Beach,37.80179146,-122.402309
1803-006016STO08,,1803-0060,3/8/18,16STO08,storage / no combustibles allowed,,,348845,765  Ellis St,94109,2,3,02N,abated,4/18/18,6,Tenderloin,37.78384911,-122.4187717
1803-007816DOR02,,1803-0078,3/8/18,16DOR02,doors / blocked open,,correct - no permit,348904,50  - 80 Beale St,94105,3,35,03N,abated,5/2/18,6,Financial District/South Beach,37.79123863,-122.3964574
1803-007816DOR08,,1803-0078,3/8/18,16DOR08,doors / latches,,correct - no permit,348904,50  - 80 Beale St,94105,3,35,03N,abated,5/2/18,6,Financial District/South Beach,37.79123863,-122.3964574
1803-007816REC01,,1803-0078,3/8/18,16REC01,emergency drill/records,,correct - no permit,348904,50  - 80 Beale St,94105,3,35,03N,abated,5/2/18,6,Financial District/South Beach,37.79123863,-122.3964574
1803-006816DOR08,,1803-0068,3/7/18,16DOR08,doors / latches,,,348831,222  02nd St,94105,3,1,03S,abated,5/7/18,6,Financial District/South Beach,37.78631981,-122.3982351
1803-006816EXI01,,1803-0068,3/7/18,16EXI01,exits/obstructions,,,348831,222  02nd St,94105,3,1,03S,abated,5/7/18,6,Financial District/South Beach,37.78631981,-122.3982351
1803-006816PEN22,,1803-0068,3/7/18,16PEN22,penetrations / fire rating maintained,,,348831,222  02nd St,94105,3,1,03S,abated,5/7/18,6,Financial District/South Beach,37.78631981,-122.3982351
1803-006816REC29Y,Y,1803-0068,3/7/18,16REC29,test and maintenance documentation,,,348831,222  02nd St,94105,3,1,03S,abated,5/7/18,6,Financial District/South Beach,37.78631981,-122.3982351
1803-006816SPR26,,1803-0068,3/7/18,16SPR26,sprinklers/ceiling clearance,,,348831,222  02nd St,94105,3,1,03S,abated,5/7/18,6,Financial District/South Beach,37.78631981,-122.3982351
1003-003310EXI02,,1003-0033,3/5/10,10EXI02,exits / storage in pathway,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003310SIG01,,1003-0033,3/5/10,10SIG01,signs / floor numbering,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003310SIG06,,1003-0033,3/5/10,10SIG06,signs / occupant load,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1707-021216SPR08Y,Y,1707-0212,8/3/17,16SPR08,sprinkler / 5-year service,,,333656,1958  Vallejo St,94123,4,16,4,abated,3/7/18,2,Marina,37.79622142,-122.4295232
1801-024016EXI13,,1801-0240,1/18/18,16EXI13,exits/fire escapes,,,346579,452  Oak St,94102,2,36,02N,referred to hearing,3/8/18,5,Hayes Valley,37.77473751,-122.4268838
1802-020916EXI24,,1802-0209,2/15/18,16EXI24,required access to exterior doors,,correct - no permit,,737  Post St,94109,1,3,01W,open,2/20/18,3,Tenderloin,37.78704663,-122.4140328
1802-020916EXT04,,1802-0209,2/15/18,16EXT04,extinguisher / service required,,correct - no permit,,737  Post St,94109,1,3,01W,open,2/20/18,3,Tenderloin,37.78704663,-122.4140328
1802-020916PEN02,,1802-0209,2/15/18,16PEN02,"penetrations/corridor walls, ceilings",,correct - no permit,,737  Post St,94109,1,3,01W,open,2/20/18,3,Tenderloin,37.78704663,-122.4140328
1802-020916REC16,,1802-0209,2/15/18,16REC16,records / sffd binder for review for 5 years,,correct - no permit,,737  Post St,94109,1,3,01W,open,2/20/18,3,Tenderloin,37.78704663,-122.4140328
1802-020916SIG34,,1802-0209,2/15/18,16SIG34,signs / evacuation plans,,correct - no permit,,737  Post St,94109,1,3,01W,open,2/20/18,3,Tenderloin,37.78704663,-122.4140328
